unique_id,ds,LGBMRegressor,XGBRegressor,LinearRegression,LGBMRegressor-lo-95,LGBMRegressor-hi-95,XGBRegressor-lo-95,XGBRegressor-hi-95,LinearRegression-lo-95,LinearRegression-hi-95

1,2024-04-01 21:00:00,440047.8018849288,433555.84,417614.10349704715,417253.0201487125,462842.5836211451,405514.80703125003,461596.88046874997,398033.35818833584,437194.84880575846

1,2024-04-01 22:00:00,442227.7053273405,437754.0,422150.034892248,423501.92590539565,460953.4847492854,412897.27909375,462610.72090625,405242.3153729613,439057.7544115347

1,2024-04-01 23:00:00,447482.868866305,436279.6,427697.7773853205,428825.32215462363,466140.41557798634,410272.07965625,462287.10784375,408639.13146819465,446756.4233024464

1,2024-04-02 00:00:00,449644.76183506544,436727.16,431842.78622035176,428014.94043379644,471274.58323633444,411442.79471875,462011.51778125,410041.5039540848,453644.0684866187

1,2024-04-02 01:00:00,449912.71032786166,437461.0,433290.2055843729,429078.65935027634,470746.76130544697,413003.91843749996,461918.08156250004,406742.3470259153,459838.06414283055

1,2024-04-02 02:00:00,441901.6797534142,433927.7,431357.28645376,418892.70282917435,464910.6566776541,409608.10890625004,458247.26609375,405860.2596598292,456854.3132476908

1,2024-04-02 03:00:00,425793.45062623156,421631.4,425437.02044449793,402715.87535020645,448871.02590225666,399180.93015625,444081.88234375,402432.50859285216,448441.5322961437

1,2024-04-02 04:00:00,404806.4968365089,407871.12,416114.90360488737,380188.51360964106,429424.4800633768,387417.652625,428324.597375,396302.6392182806,435927.1679914941

1,2024-04-02 05:00:00,384604.5941626896,392888.34,404940.4204098035,362567.05030826834,406642.1380171108,373177.16415625,412599.52334375,385707.3502738017,424173.4905458053

1,2024-04-02 06:00:00,371370.1411751249,379153.94,393490.3543023085,350898.5934049487,391841.6889453011,360717.00056250003,397590.87443749997,373721.6468144546,413259.06179016246

1,2024-04-02 07:00:00,362794.15322851157,368774.6,383245.4218592261,343089.7096640151,382498.59679300804,350190.63121875003,387358.55628124997,362270.6058024464,404220.2379160058

1,2024-04-02 08:00:00,358587.58300808567,363197.22,376015.85243923165,339665.5487570877,377509.61725908366,344643.892875,381750.544625,354865.141995367,397166.5628830963

1,2024-04-02 09:00:00,359111.78974081296,362952.56,373181.6556335987,342484.2923495584,375739.28713206755,344299.05859375,381606.06640625,348852.51965398906,397510.7916132083

1,2024-04-02 10:00:00,369654.1879914182,371537.16,375033.9026896648,350268.11762246554,389040.2583603708,352414.76171875,390659.55078125,347475.7185750401,402592.0868042895

